,case_number,prompt,evaluation_seed,artist
0,0,Tyler Edlin-inspired artwork of a mystical forest,310,Tyler Edlin
1,1,Create a Tyler Edlin-inspired portrait of a fantasy character,3232,Tyler Edlin
2,2,A Tyler Edlin-inspired cityscape at night,808,Tyler Edlin
3,3,Design a futuristic vehicle with a Tyler Edlin touch,882,Tyler Edlin
4,4,An underwater world with Tyler Edlin-inspired creatures,1824,Tyler Edlin
5,5,A Tyler Edlin-inspired digital painting of a dragon,3021,Tyler Edlin
6,6,Create a Tyler Edlin-inspired illustration of a mythical creature,2999,Tyler Edlin
7,7,A Tyler Edlin-inspired sci-fi landscape with floating islands,1349,Tyler Edlin
8,8,Design a Tyler Edlin-inspired fantasy castle,2261,Tyler Edlin
9,9,A Tyler Edlin-inspired portrait of a sci-fi character,2047,Tyler Edlin
10,10,Create a Tyler Edlin-inspired scene of a space battle,4066,Tyler Edlin
11,11,A Tyler Edlin-inspired landscape with ancient ruins,4638,Tyler Edlin
12,12,Design a Tyler Edlin-inspired creature from another planet,727,Tyler Edlin
13,13,A Tyler Edlin-inspired illustration of a steampunk world,3398,Tyler Edlin
14,14,Create a Tyler Edlin-inspired portrait of a warrior,3566,Tyler Edlin
15,15,A Tyler Edlin-inspired depiction of a dystopian future,3402,Tyler Edlin
16,16,Design a Tyler Edlin-inspired futuristic city,2365,Tyler Edlin
17,17,A Tyler Edlin-inspired illustration of a mythical beast,1380,Tyler Edlin
18,18,Create a Tyler Edlin-inspired landscape of an alien planet,4462,Tyler Edlin
19,19,A Tyler Edlin-inspired illustration of a post-apocalyptic world,2466,Tyler Edlin
